id,mvt_id,name,brand,categories,names,city_fips,city_name,state,pop_20,cty_fips,cty_type,cty_centrality,cty_msa_adj,rucc,geometry_wkt,institutional
e8463dad-f359-46c1-9efe-2266a6e53e2b,18674961,Dollar General,"{""wikidata"":null,""names"":{""primary"":""Dollar General"",""common"":null,""rules"":null}}","{""primary"":""discount_store"",""alternate"":[""arts_and_crafts""]}","{""primary"":""Dollar General"",""common"":null,""rules"":null}",0132704,"Haleyville, Alabama",AL,4361,01133,Non-Core,--,Adjacent,8,POINT (-87.59254 34.23978),FALSE
08a9042a-651d-4158-8004-91cf90409f7a,18674934,Dollar Tree,"{""wikidata"":null,""names"":{""primary"":""Dollar Tree"",""common"":null,""rules"":null}}","{""primary"":""discount_store"",""alternate"":[""shopping"",""pop_up_shop""]}","{""primary"":""Dollar Tree"",""common"":null,""rules"":null}",0132704,"Haleyville, Alabama",AL,4361,01133,Non-Core,--,Adjacent,8,POINT (-87.59763 34.23751),FALSE
93b6629b-e658-43d5-9111-3d6bf7506b5b,18674714,Dollar General,NA,"{""primary"":""discount_store"",""alternate"":[""retail""]}","{""primary"":""Dollar General"",""common"":null,""rules"":null}",0132704,"Haleyville, Alabama",AL,4361,01133,Non-Core,--,Adjacent,8,POINT (-87.62971 34.23537),FALSE
c9f0b06b-224f-4b00-b6c0-92ce136d88e0,17951509,Dollar General,"{""wikidata"":null,""names"":{""primary"":""Dollar General"",""common"":null,""rules"":null}}","{""primary"":""discount_store"",""alternate"":null}","{""primary"":""Dollar General"",""common"":null,""rules"":null}",0102836,"Ashford, Alabama",AL,2246,01069,Metro,Central,In Metro,3,POINT (-85.23465 31.18766),FALSE
a9f472ff-417b-43ae-89e0-3e1b1bc9f131,17951458,Dollar General,"{""wikidata"":null,""names"":{""primary"":""Dollar General"",""common"":null,""rules"":null}}","{""primary"":""discount_store"",""alternate"":[""convenience_store"",""pharmacy""]}","{""primary"":""Dollar General"",""common"":null,""rules"":null}",0102836,"Ashford, Alabama",AL,2246,01069,Metro,Central,In Metro,3,POINT (-85.23753 31.18292),FALSE
26feb4ad-3e51-47a0-b58b-20e902672a2a,17951427,Family Dollar,NA,"{""primary"":""discount_store"",""alternate"":[""retail""]}","{""primary"":""Family Dollar"",""common"":null,""rules"":null}",0102836,"Ashford, Alabama",AL,2246,01069,Metro,Central,In Metro,3,POINT (-85.23913 31.17753),FALSE
d97c3fe1-954e-40f3-a8d8-111b6b910ae2,17951429,Dollar General,NA,"{""primary"":""discount_store"",""alternate"":[""department_store"",""gas_station"",""automotive"",""retail""]}","{""primary"":""Dollar General"",""common"":null,""rules"":null}",0102836,"Ashford, Alabama",AL,2246,01069,Metro,Central,In Metro,3,POINT (-85.23766 31.17652),FALSE
19aa2ee2-7c29-461f-91e2-ae3f16670cc7,17921488,Family Dollar,"{""wikidata"":null,""names"":{""primary"":""Family Dollar"",""common"":null,""rules"":null}}","{""primary"":""discount_store"",""alternate"":[""grocery_store"",""retail""]}","{""primary"":""Family Dollar"",""common"":null,""rules"":null}",0177904,"Uniontown, Alabama",AL,2107,01105,Non-Core,--,Adjacent,8,POINT (-87.51635 32.44955),FALSE
aed03874-7486-4c5b-a417-6fd227b93136,17921491,Dollar General,"{""wikidata"":null,""names"":{""primary"":""Dollar General"",""common"":null,""rules"":null}}","{""primary"":""discount_store"",""alternate"":[""arts_and_crafts""]}","{""primary"":""Dollar General"",""common"":null,""rules"":null}",0177904,"Uniontown, Alabama",AL,2107,01105,Non-Core,--,Adjacent,8,POINT (-87.51517 32.45002),FALSE
be35e212-09a0-4866-9b58-e18191b7be90,17921485,Family Dollar,NA,"{""primary"":""discount_store"",""alternate"":[""retail""]}","{""primary"":""Family Dollar"",""common"":null,""rules"":null}",0177904,"Uniontown, Alabama",AL,2107,01105,Non-Core,--,Adjacent,8,POINT (-87.51632 32.44941),FALSE
