id,mvt_id,name,brand,categories,names,city_fips,city_name,state,pop_20,cty_fips,cty_type,cty_centrality,cty_msa_adj,rucc,geometry_wkt,institutional
ee9f5f56-f6d3-4573-ac6b-0e12ef61421b,13861615,Casey's General Store,"{""wikidata"":null,""names"":{""primary"":""Casey's"",""common"":null,""rules"":null}}","{""primary"":""pizza_restaurant"",""alternate"":[""convenience_store"",""gas_station""]}","{""primary"":""Casey's General Store"",""common"":null,""rules"":null}",0523290,"Fayetteville, Arkansas",AR,93949,05143,Metro,Central,In Metro,2,POINT (-94.19786 36.07877),FALSE
6ae018c5-b1fe-4b06-8396-b1c82841cb19,13863338,Casey's General Store,"{""wikidata"":null,""names"":{""primary"":""Casey's"",""common"":null,""rules"":null}}","{""primary"":""pizza_restaurant"",""alternate"":[""convenience_store"",""gas_station""]}","{""primary"":""Casey's"",""common"":null,""rules"":null}",0523290,"Fayetteville, Arkansas",AR,93949,05143,Metro,Central,In Metro,2,POINT (-94.19405 36.09285),FALSE
ebf1509f-2d13-4f77-b31e-4686f569d9a4,13905302,Casey's General Store,"{""wikidata"":null,""names"":{""primary"":""Casey's"",""common"":null,""rules"":null}}","{""primary"":""pizza_restaurant"",""alternate"":[""convenience_store"",""food_delivery_service""]}","{""primary"":""Casey's"",""common"":null,""rules"":null}",0550450,"North Little Rock, Arkansas",AR,64591,05119,Metro,Central,In Metro,2,POINT (-92.21834 34.78456),FALSE
3d10c2bd-53bc-4097-a2a9-44f76d990854,13860221,Casey's General Store,"{""wikidata"":null,""names"":{""primary"":""Casey's"",""common"":null,""rules"":null}}","{""primary"":""pizza_restaurant"",""alternate"":[""convenience_store"",""gas_station""]}","{""primary"":""Casey's General Store"",""common"":null,""rules"":null}",0502590,"Atkins, Arkansas",AR,2859,05115,Micro,Central,Non-Adjacent,5,POINT (-92.9371 35.25073),FALSE
76d6f63e-9884-4421-86ac-955021609d4f,13960373,Casey's General Store,"{""wikidata"":null,""names"":{""primary"":""Casey's"",""common"":null,""rules"":null}}","{""primary"":""convenience_store"",""alternate"":[""gas_station"",""pizza_restaurant""]}","{""primary"":""Casey's General Store"",""common"":null,""rules"":null}",0515460,"Corning, Arkansas",AR,3227,05021,Non-Core,--,Non-Adjacent,9,POINT (-90.59197 36.41111),FALSE
4f91fa00-d9fe-40b0-8c69-9542ad458cd3,13868174,Casey's General Store,"{""wikidata"":null,""names"":{""primary"":""Casey's"",""common"":null,""rules"":null}}","{""primary"":""convenience_store"",""alternate"":[""pizza_restaurant"",""gas_station""]}","{""primary"":""Casey's"",""common"":null,""rules"":null}",0566080,"Springdale, Arkansas",AR,84161,05143,Metro,Central,In Metro,2,POINT (-94.17479 36.19356),FALSE
eb9f2435-b25b-4c82-848a-2b62848d845f,13867605,Casey's General Store,"{""wikidata"":null,""names"":{""primary"":""Casey's"",""common"":null,""rules"":null}}","{""primary"":""pizza_restaurant"",""alternate"":[""convenience_store"",""gas_station""]}","{""primary"":""Casey's"",""common"":null,""rules"":null}",0566080,"Springdale, Arkansas",AR,84161,05143,Metro,Central,In Metro,2,POINT (-94.14722 36.17442),FALSE
e5021e36-cf04-4f57-afe6-1b24e304cfd4,13868710,Casey's General Store,"{""wikidata"":null,""names"":{""primary"":""Casey's"",""common"":null,""rules"":null}}","{""primary"":""convenience_store"",""alternate"":[""gas_station"",""pizza_restaurant""]}","{""primary"":""Casey's"",""common"":null,""rules"":null}",0566080,"Springdale, Arkansas",AR,84161,05143,Metro,Central,In Metro,2,POINT (-94.10791 36.1669),FALSE
57c92631-61e3-4d71-90b1-6ecc2c8d4b2d,13868553,Casey's General Store,"{""wikidata"":null,""names"":{""primary"":""Casey's"",""common"":null,""rules"":null}}","{""primary"":""pizza_restaurant"",""alternate"":[""convenience_store"",""gas_station""]}","{""primary"":""Casey's General Store"",""common"":null,""rules"":null}",0566080,"Springdale, Arkansas",AR,84161,05143,Metro,Central,In Metro,2,POINT (-94.11789 36.15301),FALSE
955a885c-128a-43f1-a708-607dcdc99049,13866326,Casey's General Store,"{""wikidata"":null,""names"":{""primary"":""Casey's"",""common"":null,""rules"":null}}","{""primary"":""pizza_restaurant"",""alternate"":[""convenience_store"",""gas_station""]}","{""primary"":""Casey's General Store"",""common"":null,""rules"":null}",0566080,"Springdale, Arkansas",AR,84161,05143,Metro,Central,In Metro,2,POINT (-94.14477 36.15198),FALSE
ed9fabae-894b-4697-b768-5a6f2d945ac8,13865576,Casey's General Store,"{""wikidata"":null,""names"":{""primary"":""Casey's"",""common"":null,""rules"":null}}","{""primary"":""pizza_restaurant"",""alternate"":[""convenience_store"",""gas_station""]}","{""primary"":""Casey's General Store"",""common"":null,""rules"":null}",0566080,"Springdale, Arkansas",AR,84161,05143,Metro,Central,In Metro,2,POINT (-94.18344 36.1531),FALSE
abe48176-2e9c-4207-99c6-23d00706c268,13914062,Casey's General Store,NA,"{""primary"":""gas_station"",""alternate"":[""automotive""]}","{""primary"":""Casey's"",""common"":null,""rules"":null}",0515190,"Conway, Arkansas",AR,64134,05045,Metro,Outlying,In Metro,2,POINT (-92.43228 35.1127),FALSE
7848501b-1833-4bf0-966b-d79b4b25b4ce,13911523,Casey's General Store,"{""wikidata"":null,""names"":{""primary"":""Casey's"",""common"":null,""rules"":null}}","{""primary"":""pizza_restaurant"",""alternate"":[""gas_station"",""convenience_store""]}","{""primary"":""Casey's"",""common"":null,""rules"":null}",0515190,"Conway, Arkansas",AR,64134,05045,Metro,Outlying,In Metro,2,POINT (-92.42264 35.06615),FALSE
3720b98e-d50e-4d4c-99ee-4fa30b0270b6,13876345,Casey's General Store,"{""wikidata"":null,""names"":{""primary"":""Casey's"",""common"":null,""rules"":null}}","{""primary"":""convenience_store"",""alternate"":[""gas_station"",""pizza_restaurant""]}","{""primary"":""Casey's General Store"",""common"":null,""rules"":null}",0560410,"Rogers, Arkansas",AR,69908,05007,Metro,Central,In Metro,2,POINT (-94.11728 36.33728),FALSE
4b69670b-abc2-43c6-91db-038333d94cc0,13875755,Casey's General Store,"{""wikidata"":null,""names"":{""primary"":""Casey's"",""common"":null,""rules"":null}}","{""primary"":""convenience_store"",""alternate"":[""pizza_restaurant"",""gas_station""]}","{""primary"":""Casey's General Store"",""common"":null,""rules"":null}",0560410,"Rogers, Arkansas",AR,69908,05007,Metro,Central,In Metro,2,POINT (-94.12562 36.31952),FALSE
7cbf243e-6751-402a-a2ab-d1250f4155c9,13873236,Casey's General Store,NA,"{""primary"":""pizza_delivery_service"",""alternate"":[""gas_station"",""food_delivery_service"",""automotive"",""food""]}","{""primary"":""Casey's General Store"",""common"":null,""rules"":null}",0560410,"Rogers, Arkansas",AR,69908,05007,Metro,Central,In Metro,2,POINT (-94.15288 36.34149),FALSE
fa7a4468-0f68-43cd-a46a-13ebe1a79def,13873238,Casey's General Store,NA,"{""primary"":""pizza_delivery_service"",""alternate"":[""gas_station"",""food_delivery_service"",""automotive"",""food""]}","{""primary"":""Casey's"",""common"":null,""rules"":null}",0560410,"Rogers, Arkansas",AR,69908,05007,Metro,Central,In Metro,2,POINT (-94.15285 36.34184),FALSE
f1b233a7-1c2e-4f80-b7e4-26a030804ebe,13873455,Casey's General Store,"{""wikidata"":null,""names"":{""primary"":""Casey's"",""common"":null,""rules"":null}}","{""primary"":""pizza_restaurant"",""alternate"":[""convenience_store"",""gas_station""]}","{""primary"":""Casey's General Store"",""common"":null,""rules"":null}",0560410,"Rogers, Arkansas",AR,69908,05007,Metro,Central,In Metro,2,POINT (-94.15262 36.34205),FALSE
6ba05b09-0b88-42d3-9492-ef3e12de868d,13875379,Casey's General Store,"{""wikidata"":null,""names"":{""primary"":""Casey's"",""common"":null,""rules"":null}}","{""primary"":""pizza_restaurant"",""alternate"":[""convenience_store"",""gas_station""]}","{""primary"":""Casey's General Store"",""common"":null,""rules"":null}",0560410,"Rogers, Arkansas",AR,69908,05007,Metro,Central,In Metro,2,POINT (-94.14378 36.35507),FALSE
015bdc14-387c-42bd-bc6e-bcc3c5220827,13870818,Casey's General Store,"{""wikidata"":null,""names"":{""primary"":""Casey's"",""common"":null,""rules"":null}}","{""primary"":""convenience_store"",""alternate"":[""pizza_restaurant"",""gas_station""]}","{""primary"":""Casey's General Store"",""common"":null,""rules"":null}",0560410,"Rogers, Arkansas",AR,69908,05007,Metro,Central,In Metro,2,POINT (-94.16246 36.284),FALSE
06d9e438-ed68-4331-ae6c-7b647ea6287d,13820948,Casey's General Store,"{""wikidata"":null,""names"":{""primary"":""Casey's"",""common"":null,""rules"":null}}","{""primary"":""pizza_restaurant"",""alternate"":[""gas_station"",""convenience_store""]}","{""primary"":""Casey's"",""common"":null,""rules"":null}",0533400,"Hot Springs, Arkansas",AR,37930,05051,Metro,Central,In Metro,3,POINT (-93.06818 34.45225),FALSE
