city_fips,city_name,st,pop_20,cty_fips,cty_type,cty_centrality,cty_msa_adj,rucc,peak_year,peak_pop,pop_2010,decline,pct_decline,type,reason
0107000,"Birmingham city, Alabama",AL,200733,01073,Metro,Central,In Metro,1,1960,340887,212237,-140154,-0.4111450421987345,City,Both
0162496,"Prichard city, Alabama",AL,19322,01097,Metro,Central,In Metro,2,1960,47371,22659,-28049,-0.5921133182748939,Town,Both
0171190,"Smiths Station city, Alabama",AL,5384,01081,Metro,Central,In Metro,3,2000,21756,4926,-16372,-0.752528038242324,Small Town,Both
0406260,"Bisbee city, Arizona",AZ,4923,04003,Metro,Central,In Metro,3,1960,9914,5575,-4991,-0.5034294936453501,Small Town,Both
0452930,"Paradise Valley town, Arizona",AZ,12658,04013,Metro,Central,In Metro,1,2000,13664,12820,-1006,-0.07362412177985948,Town,Both
0507330,"Blytheville city, Arkansas",AR,13406,05093,Micro,Central,Adjacent,4,1970,24752,15620,-11346,-0.45838720103425984,Town,Both
0508950,"Brinkley city, Arkansas",AR,2700,05095,Non-Core,--,Non-Adjacent,9,1970,5275,3188,-2575,-0.4881516587677725,Small Town,Relative Decline
0544120,"Marianna city, Arkansas",AR,3575,05077,Non-Core,--,Adjacent,8,1980,6220,4115,-2645,-0.4252411575562701,Small Town,Raw Decline
0613588,"Citrus Heights city, California",CA,87583,06067,Metro,Central,In Metro,1,1990,107439,83301,-19856,-0.18481184672232615,City,Both
0630378,"Goleta city, California",CA,32690,06083,Metro,Central,In Metro,2,2000,55204,29888,-22514,-0.4078327657416129,Town,Both
0650874,"Nevada City city, California",CA,3152,06057,Micro,Central,Adjacent,4,1880,4022,3068,-870,-0.21631029338637495,Small Town,Relative Decline
0669000,"Santa Ana city, California",CA,310227,06059,Metro,Central,In Metro,1,2000,337977,324528,-27750,-0.0821061788228193,Large City,Both
0682744,"Villa Park city, California",CA,5843,06059,Metro,Central,In Metro,1,1980,7137,5812,-1294,-0.1813086731119518,Small Town,Raw Decline
0824785,"Englewood city, Colorado",CO,33659,08005,Metro,Central,In Metro,1,1970,33695,30255,-36,-0.001068407775634367,Town,Both
0844320,"Leadville city, Colorado",CO,2633,08065,Micro,Outlying,Non-Adjacent,9,1880,14820,2602,-12187,-0.8223346828609986,Small Town,Both
0943300,"Litchfield borough, Connecticut",CT,1179,09160,Micro,Central,Adjacent,4,1790,20342,8466,-19163,-0.9420410972372432,Small Town,Both
0952000,"New Haven city, Connecticut",CT,134023,09170,Metro,Central,In Metro,2,1950,164443,129779,-30420,-0.18498811138205945,City,Both
0952280,"New London city, Connecticut",CT,27367,09180,Metro,Central,In Metro,2,1960,34182,27620,-6815,-0.1993739395003218,Town,Both
1024540,"Elsmere town, Delaware",DE,6229,10003,Metro,Central,In Metro,1,1970,8415,6131,-2186,-0.2597742127153892,Small Town,Both
1077580,"Wilmington city, Delaware",DE,70898,10003,Metro,Central,In Metro,1,1940,112504,70851,-41606,-0.36981796202801676,City,Both
1211800,"Chattahoochee city, Florida",FL,2955,12039,Metro,Outlying,In Metro,2,1960,9699,3652,-6744,-0.6953294154036499,Small Town,Both
1236550,"Key West city, Florida",FL,26444,12087,Micro,Central,Adjacent,4,1960,33956,24649,-7512,-0.22122747084462246,Town,Both
1245060,"Miami Gardens city, Florida",FL,111640,12086,Metro,Central,In Metro,1,2000,124656,107167,-13016,-0.10441535104607881,City,Both
1317776,"College Park city, Georgia",GA,13930,13121,Metro,Central,In Metro,1,1980,24632,13942,-10702,-0.43447547905164013,Town,Both
1336472,"Hapeville city, Georgia",GA,6553,13121,Metro,Central,In Metro,1,1960,10082,6373,-3529,-0.3500297560007935,Small Town,Both
1675195,"Soda Springs city, Idaho",ID,3133,16029,Non-Core,--,Adjacent,8,1980,4051,3058,-918,-0.22661071340409775,Small Town,Both
1710383,"Cairo city, Illinois",IL,1733,17003,Metro,Outlying,In Metro,3,1920,15203,2831,-13470,-0.8860093402617905,Small Town,Both
1714000,"Chicago city, Illinois",IL,2746388,17031,Metro,Central,In Metro,1,1950,3620962,2695598,-874574,-0.2415308418039184,Large City,Both
1718823,"Decatur city, Illinois",IL,70522,17115,Metro,Central,In Metro,3,1980,94081,76122,-23559,-0.25041187912543444,City,Both
1722255,"East St. Louis city, Illinois",IL,18469,17163,Metro,Central,In Metro,1,1950,82366,27006,-63897,-0.7757691280382683,Town,Both
1805176,"Bicknell city, Indiana",IN,3029,18083,Micro,Central,Non-Adjacent,7,1920,7635,2915,-4606,-0.6032743942370662,Small Town,Relative Decline
1813780,"Clinton city, Indiana",IN,4831,18165,Metro,Outlying,In Metro,3,1920,10962,4893,-6131,-0.5592957489509214,Small Town,Raw Decline
1819486,"East Chicago city, Indiana",IN,26370,18089,Metro,Central,In Metro,1,1960,57669,29698,-31299,-0.542735265047079,Town,Both
1827000,"Gary city, Indiana",IN,69093,18089,Metro,Central,In Metro,1,1960,178320,80294,-109227,-0.6125336473755048,City,Both
1912315,"Centerville city, Iowa",IA,5412,19007,Non-Core,--,Non-Adjacent,7,1920,8486,5528,-3074,-0.3622436954984681,Small Town,Both
1940845,"Keokuk city, Iowa",IA,9900,19111,Micro,Central,Non-Adjacent,7,1960,16316,10780,-6416,-0.3932336356950233,Town,Relative Decline
1960465,"Ottumwa city, Iowa",IA,25529,19179,Micro,Central,Non-Adjacent,5,1960,33871,25023,-8342,-0.24628738448820525,Town,Raw Decline
1982425,"Waterloo city, Iowa",IA,67314,19013,Metro,Central,In Metro,3,1980,75985,68406,-8671,-0.11411462788708297,City,Both
2014600,"Coffeyville city, Kansas",KS,8826,20125,Non-Core,--,Non-Adjacent,7,1960,17382,10295,-8556,-0.4922333448394891,Town,Both
2025100,"Galena city, Kansas",KS,2761,20021,Metro,Outlying,In Metro,3,1900,10155,3085,-7394,-0.7281142294436238,Small Town,Both
2036000,"Kansas City city, Kansas",KS,156607,20209,Metro,Central,In Metro,1,1970,168213,145786,-11606,-0.06899585644391337,City,Both
2117848,"Covington city, Kentucky",KY,40961,21117,Metro,Central,In Metro,1,1930,65252,40640,-24291,-0.3722644516643168,Town,Raw Decline
2120350,"Dayton city, Kentucky",KY,5666,21037,Metro,Central,In Metro,1,1930,9071,5338,-3405,-0.3753720648219601,Small Town,Both
2155884,"Newport city, Kentucky",KY,14150,21037,Metro,Central,In Metro,1,1950,31044,15273,-16894,-0.5441953356526221,Town,Relative Decline
2208150,"Bogalusa city, Louisiana",LA,10659,22117,Micro,Central,Adjacent,6,1960,21423,12232,-10764,-0.5024506371656631,Town,Both
2241400,"Lake Providence town, Louisiana",LA,3587,22035,Non-Core,--,Adjacent,8,1980,6361,3991,-2774,-0.4360949536236441,Small Town,Relative Decline
