cty_fips,cty,cty_seat,cbsa_type,metro,peak_year,peak_pop,state,pop_2020,decline,pct_decline,reason
01105,"Perry County, Alabama",Marion,Non-Core,0,1900,31783,Alabama,8511,-23272,-0.7322153352421106,Relative Decline
01131,"Wilcox County, Alabama",Camden,Non-Core,0,1900,35631,Alabama,10600,-25031,-0.7025062445623194,Raw Decline
01085,"Lowndes County, Alabama",Hayneville,Metro,1,1900,35651,Alabama,10311,-25340,-0.7107795012762615,Both
02016,"Aleutians West Census Area, Alaska",NA,Non-Core,0,1990,9478,Alaska,5232,-4246,-0.4479848069212914,Both
04011,"Greenlee County, Arizona",Clifton,Non-Core,0,1920,15362,Arizona,9563,-5799,-0.37748991016794686,Both
04003,"Cochise County, Arizona",Bisbee,Metro,1,2010,131346,Arizona,125447,-5899,-0.044911912049091715,Both
05093,"Mississippi County, Arkansas",Blytheville,Micro,0,1950,82375,Arkansas,40685,-41690,-0.5061001517450683,Raw Decline
05147,"Woodruff County, Arkansas",Augusta,Non-Core,0,1930,22682,Arkansas,6269,-16413,-0.7236134379684331,Relative Decline
05025,"Cleveland County, Arkansas",Rison,Metro,1,1910,13481,Arkansas,7550,-5931,-0.4399525257770195,Relative Decline
05069,"Jefferson County, Arkansas",Pine Bluff,Metro,1,1980,90718,Arkansas,67260,-23458,-0.25858153839370357,Raw Decline
06035,"Lassen County, California",Susanville,Micro,0,2010,34895,California,32730,-2165,-0.06204327267516836,Raw Decline
06091,"Sierra County, California",Downieville,Non-Core,0,1910,4098,California,3236,-862,-0.21034651049292338,Relative Decline
06007,"Butte County, California",Oroville,Metro,1,2010,220000,California,211632,-8368,-0.03803636363636364,Both
08071,"Las Animas County, Colorado",Trinidad,Non-Core,0,1920,38975,Colorado,14555,-24420,-0.6265554842847979,Raw Decline
08111,"San Juan County, Colorado",Silverton,Non-Core,0,1910,3063,Colorado,705,-2358,-0.7698334965719883,Relative Decline
08119,"Teller County, Colorado",Cripple Creek,Metro,1,1900,29002,Colorado,24710,-4292,-0.14798979380732363,Both
09005,"Litchfield County, Connecticut",Litchfield,Micro,0,2010,189927,Connecticut,185186,-4741,-0.02496222232752584,Both
09011,"New London County, Connecticut",Norwich,Metro,1,2010,274055,Connecticut,268555,-5500,-0.020068964258999105,Both
12045,"Gulf County, Florida",Port Saint Joe,Non-Core,0,2010,15863,Florida,14192,-1671,-0.1053394692050684,Relative Decline
12063,"Jackson County, Florida",Marianna,Non-Core,0,2010,49746,Florida,47319,-2427,-0.048787842238571945,Raw Decline
12065,"Jefferson County, Florida",Monticello,Metro,1,1910,17210,Florida,14510,-2700,-0.1568855316676351,Both
