title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010,lat,lon,settlement_type
"Abanda, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.1008333333,-85.5297222222,Census-designated place
"Abbeville, Alabama",0,0,0,0,0,0,300,0,0,0,465,889,1141,1267,2047,2080,2162,2524,2996,3155,3173,2987,2688,31.5663888889,-85.2513888889,City
"Adamsville, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,649,0,0,0,1531,2095,2412,2498,4161,4965,4522,33.5902777778,-86.9491666667,City
"Addison, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590,343,692,746,626,723,758,34.2,-87.1777777778,Town
"Akron, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,675,793,504,684,604,535,604,468,521,356,32.8763888889,-87.7408333333,Town
Alabama,0,1250,9046,127901,309527,590756,771623,964201,996992,1262505,1513401,1828697,2138093,2348174,2646248,2832961,3061743,3266740,3444165,3893888,4040587,4447100,4779745,NA,NA,US State
"Alabaster, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1623,2642,7079,14732,22619,30352,33.2311111111,-86.8236111111,City
"Albany, Alabama",0,0,0,0,0,0,0,0,0,0,3565,4437,6118,7652,0,0,0,0,0,0,0,0,0,34.6,-86.9777777778,NHRP
"Albertville, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,1544,1666,2716,3651,5397,8250,9963,12039,14507,17247,21160,34.2652777778,-86.2111111111,City
"Alexander City, Alabama",0,0,0,0,0,0,0,0,0,796,679,1061,1710,2293,4519,6640,6430,13140,12358,13807,14917,15008,14875,32.9330555556,-85.9361111111,City
"Alexandria, Alabama",0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,3692,3917,33.7658333333,-85.8841666667,Census-designated place
"Aliceville, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,640,944,1066,1475,3170,3194,2851,3207,3009,2567,2486,33.1261111111,-88.1541666667,City
"Allgood, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,272,387,464,629,622,33.9041666667,-86.5163888889,Town
"Allsboro, Alabama",0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,34.6941666667,-88.1102777778,Unincorporated community
"Altoona, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,1071,1078,1098,995,860,744,781,928,960,984,933,34.0291666667,-86.3205555556,Town
"Andalusia, Alabama",0,0,0,0,0,0,0,0,0,596,270,551,2480,4023,5154,6886,9162,10263,10092,10415,9269,8794,9015,31.3,-86.4833333333,City
"Anderson, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,405,339,354,282,34.92,-87.2702777778,Town
"Anniston, Alabama",0,0,0,0,0,0,0,0,0,942,9998,9695,12794,17734,22345,25523,31066,33320,31533,29135,26623,24276,23106,33.6611111111,-85.8333333333,City
"Arab, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,264,425,640,1592,2989,4399,6053,6321,7174,8050,34.3277777778,-86.4986111111,City
"Arbacoochee, Alabama",0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,33.5761111111,-85.5172222222,Unincorporated community
"Ardmore, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,381,408,439,761,1096,1090,1034,1194,34.9869444444,-86.8430555556,Town
"Argo, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,930,1780,4071,33.7,-86.5122222222,Town
"Ariton, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,431,625,611,561,620,687,643,844,743,772,764,31.5980555556,-85.7186111111,Town
"Arkadelphia, Alabama",0,0,0,0,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,33.905,-86.9625,Unincorporated community
"Arley, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,276,338,290,357,34.0813888889,-87.2105555556,Town
"Ashford, Alabama",0,0,0,0,0,0,0,0,0,0,0,286,479,754,920,1224,1400,1511,1980,2165,1926,1853,2148,31.1838888889,-85.2352777778,Town
"Ashland, Alabama",0,0,0,0,0,0,0,0,118,387,635,422,1062,1655,1476,1608,1593,1610,1921,2052,2034,1965,2037,33.2719444444,-85.8366666667,Town
"Ashville, Alabama",0,0,0,0,0,0,0,117,0,0,0,362,278,349,369,385,494,973,986,1489,1494,2260,2212,33.837,-86.255,City
"Athens, Alabama",0,0,0,0,0,0,991,0,887,1011,940,1010,1715,3323,4238,4342,6309,9330,14360,14558,16901,18967,21897,34.7897222222,-86.9694444444,City
"Atmore, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,1060,1775,3035,3200,5720,8173,8293,8789,8046,7676,10194,31.0230555556,-87.4919444444,City
"Attalla, Alabama",0,0,0,0,0,0,0,0,0,351,1254,1692,2513,3462,4585,4885,7537,8257,7510,7737,6859,6592,6048,34.0097222222,-86.0983333333,City
"Auburn, Alabama",0,0,0,0,0,0,0,0,1018,1161,1440,1447,1408,2143,2800,4652,12939,16261,22767,28471,33830,42987,53380,32.5977777778,-85.4808333333,City
"Autauga County, Alabama",0,0,0,3853,11874,14342,15023,16739,11623,13108,13330,17915,20038,18908,19694,20977,18186,18739,24460,32259,34222,43671,54571,32.5366666667,-86.6483333333,US County
"Autaugaville, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,313,362,450,456,459,440,870,843,681,820,870,32.4322222222,-86.6533333333,Town
"Avon, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,374,433,462,466,543,31.1891666667,-85.2788888889,Town
Avondale (Birmingham),0,0,0,0,0,0,0,0,0,0,1642,3060,0,0,0,0,0,0,0,0,0,0,0,33.5240083333,-86.7780444444,Birmingham neighborhood
"Axis, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.9297222222,-88.0269444444,NA
"Babbie, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,82,553,576,627,603,31.3002777778,-86.3191666667,Town
"Baileyton, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,396,352,684,610,34.2669444444,-86.6027777778,Town
"Bakerhill, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,31.88495,-85.1539,Town
"Baldwin County, Alabama",0,0,1427,1713,2324,2951,4414,7530,6004,8603,8941,13194,18178,20730,28289,32324,40997,49088,59382,78556,98280,140415,182265,30.7330555556,-87.7202777778,US County
"Ballplay, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.0586111111,-85.8080555556,Census-designated place
"Banks, Alabama",0,0,0,0,0,0,0,0,0,0,0,198,307,299,296,252,222,201,170,160,195,224,179,31.8133333333,-85.8402777778,Town
"Barbour County, Alabama",0,0,0,0,0,12024,23632,30812,29309,33979,34898,35152,32728,32067,32425,32722,28892,24700,22543,24756,25417,29038,27457,31.8658333333,-85.3961111111,US County
"Bay Minette, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,749,1092,1545,1763,3732,5197,6727,7455,7168,7820,8044,30.8833333333,-87.7769444444,City
"Bayou La Batre, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2196,2572,2664,2005,2456,2313,2558,30.4030555556,-88.2480555556,Town
"Bayview, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1420,1081,0,0,0,0,0,33.559787,-86.975048,Community
"Bear Creek, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,214,222,208,243,223,243,336,353,913,1053,1070,34.2722222222,-87.7033333333,Town
"Beatrice, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,345,293,342,410,375,506,455,558,454,412,301,31.7330555556,-87.2066666667,Town
"Beaverton, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,231,192,162,265,360,319,226,201,33.9327777778,-88.0202777778,Town
"Belgreen, Alabama",0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,129,34.4747222222,-87.8663888889,Census-designated place
"Belk, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,308,255,214,215,33.6458333333,-87.9308333333,Town
"Bellamy, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.4488888889,-88.1336111111,Census-designated place (cdp) &amp; unincorporated community
"Belle Fontaine, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.4936111111,-88.1036111111,Census-designated place (cdp) &amp; unincorporated community
"Bellefonte, Alabama",0,0,0,0,0,0,0,181,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.7111111111,-85.9452777778,Ghost town
"Bellwood, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,201,0,299,285,263,273,0,0,0,0,0,31.1733333333,-85.7933333333,Unincorporated community
"Bemiston, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007,0,0,0,0,0,0,33.41,-86.1208333333,Unincorporated community
"Benton, Alabama",0,0,0,0,0,0,0,0,0,0,265,0,0,0,0,0,0,0,115,74,48,47,49,32.3061111111,-86.8175,Town
"Berry, Alabama",0,0,0,0,0,0,0,0,0,0,0,245,372,491,500,639,715,645,679,916,1218,1238,1148,33.6577777778,-87.6058333333,Town
"Bessemer, Alabama",0,0,0,0,0,0,0,0,0,0,4544,6358,10864,18674,20721,22826,28445,33054,33663,31729,33497,29672,27456,33.3911111111,-86.9563888889,City
"Bexar, Alabama",0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,34.1908333333,-88.1472222222,Unincorporated community
"Bibb County, Alabama",0,0,0,3676,6306,8284,9969,11894,7469,9487,13824,18498,22791,23144,20780,20155,17987,14357,13812,15723,16576,20826,22915,32.9977777778,-87.1263888889,US County
"Billingsley, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,256,214,189,183,158,179,110,106,150,116,144,32.6602777778,-86.7111111111,Town
"Birmingham, Alabama",0,0,0,0,0,0,0,0,0,3086,26178,38415,132685,178806,259678,267583,326037,340887,300910,284413,265968,242840,212237,33.6533333333,-86.8088888889,City
"Black, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,485,614,335,348,239,133,171,156,174,202,207,31.0111111111,-85.7441666667,Town
"Bladon Springs, Alabama",0,0,0,0,0,0,0,0,0,573,440,0,0,0,0,0,0,0,0,0,0,0,0,31.7305555556,-88.1975,NA
"Blount County, Alabama",0,0,0,2415,4233,5570,7367,10865,9945,15369,21927,23119,21456,25538,28020,29490,28975,25449,26853,36459,39248,51024,57322,33.9666666667,-86.5833333333,US County
"Blount Springs, Alabama",0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,33.9311111111,-86.7941666667,Unincorporated community
"Blountsville, Alabama",0,0,0,0,0,0,0,0,0,222,288,0,287,427,468,576,695,672,1254,1509,1527,1768,1684,34.0816666667,-86.5886111111,Town
"Blue Ridge, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151,1331,1341,32.4866666667,-86.1905555556,Census-designated place
"Blue Springs, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,117,162,164,167,111,94,137,112,108,121,96,31.6641666667,-85.4958333333,Town
"Boaz, Alabama",0,0,0,0,0,0,0,0,0,0,0,253,1010,1369,1691,1927,3078,4654,5635,7151,6928,7411,9551,34.2027777778,-86.1602777778,City
"Boligee, Alabama",0,0,0,0,0,0,0,0,0,36,0,0,0,0,178,241,168,134,225,164,268,369,328,32.7636111111,-88.0258333333,Town
"Bolling, Alabama",0,0,0,0,0,0,0,0,0,0,0,175,350,146,369,0,0,0,0,0,0,0,0,31.7255555556,-86.7058333333,Unincorporated community
"Bon Air, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,360,297,214,118,91,96,116,33.2636111111,-86.3336111111,Town
"Bon Secour, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.315,-87.7288888889,Unincorporated community
"Boykin, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0783555556,-87.2803694444,Census-designated place
"Branchville, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,365,370,825,0,33.6477777778,-86.4366666667,Town
"Brantley, Alabama",0,0,0,0,0,0,0,0,0,0,0,390,803,702,1053,1126,1102,1014,1066,1151,1015,920,809,31.5841666667,-86.2563888889,Town
"Brantleyville, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.2158333333,-86.875,Census-designated place (cdp) &amp; unincorporated community
"Bremen, Alabama",0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,33.9944444444,-86.97,Unincorporated community
"Brent, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,386,586,829,1100,1879,2093,2862,2776,4024,4947,32.94,-87.1747222222,City
"Brewton, Alabama",0,0,0,0,0,0,0,0,0,0,1115,1382,2185,2682,2818,3323,5146,6309,6747,6680,5885,5498,5408,31.1175,-87.0711111111,City
"Bridgeport, Alabama",0,0,0,0,0,0,0,0,0,0,0,1247,2125,2018,2124,2031,2386,2906,2908,2974,2936,2728,2418,34.9472222222,-85.7138888889,City
"Brighton, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,1502,3665,1708,1377,1689,2884,2277,5308,4518,3640,2945,33.4388888889,-86.9452777778,City
"Brilliant, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,522,591,700,749,726,871,751,762,900,34.0225,-87.7672222222,Town
"Bristow Cove, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.1091666667,-86.2411111111,Census-designated place
"Brook Highland, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1840,5799,6746,33.4283333333,-86.6927777778,Census-designated place (cdp) &amp; unincorporated community
"Brooklyn, Conecuh County, Alabama",0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,31.2627777778,-86.7711111111,Unincorporated community
"Brookside, Alabama",0,0,0,0,0,0,0,0,0,0,380,658,623,666,466,714,733,999,990,1409,1365,1393,1363,33.6316666667,-86.9130555556,Town
"Brookwood, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,492,658,1483,1828,33.2388888889,-87.3197222222,Town
"Broomtown, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.3605555556,-85.5216666667,Census-designated place
"Brundidge, Alabama",0,0,0,0,0,0,0,0,0,387,0,537,815,941,1434,1909,2605,2523,2709,3213,2472,2341,2076,31.7191666667,-85.8180555556,City
"Bucks, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0188111111,-88.0241861111,Census-designated place
"Bullock County, Alabama",0,0,0,0,0,0,0,0,24474,29066,27063,31944,30196,25333,20016,19810,16054,13462,11824,10596,11042,11714,10914,32.0977777778,-85.7172222222,US County
"Burnt Corn, Alabama",0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,31.5536111111,-87.1602777778,Unincorporated community
"Butler County, Alabama",0,0,0,1405,5650,8685,10836,18122,14981,19649,21641,25761,29030,29531,30195,32447,29228,24560,22007,21680,21892,21399,20947,31.7494444444,-86.6822222222,US County
"Butler, Alabama",0,0,0,0,0,0,0,0,0,194,0,0,0,0,501,670,659,1765,2064,1882,1872,1952,1894,32.0913888889,-88.2205555556,Town
"Bynum, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2235,1917,1863,0,33.6058333333,-85.9630555556,Former cdp
"Cahaba Heights, Vestavia Hills",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4778,5203,0,33.4591666667,-86.7319444444,Neighborhood
"Cahaba, Alabama",0,0,0,0,0,0,0,1920,431,384,0,0,0,0,0,0,0,0,0,0,0,0,0,32.3169444444,-87.1013888889,NHRP
"Calera, Alabama",0,0,0,0,0,0,0,0,0,234,753,770,754,852,975,1092,1361,1928,1655,2035,2136,3158,11620,33.1027777778,-86.7536111111,City
"Calhoun County, Alabama",0,0,0,0,0,14260,17163,21539,13980,19591,33835,34874,39115,47822,55611,63319,79539,95878,103092,119761,116034,112249,118572,33.7694444444,-85.8208333333,US County
"Calvert, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.1552777778,-88.01,Census-designated place
"Camden, Alabama",0,0,0,0,0,0,800,0,0,590,545,478,648,700,697,909,931,1121,1742,2406,2414,2257,2020,31.9988,-87.2957,City
"Camp Hill, Alabama",0,0,0,0,0,0,0,0,0,0,366,686,896,952,1131,1147,1296,1270,1554,1628,1415,1273,1014,32.7991666667,-85.6527777778,Town
"Carbon Hill, Alabama",0,0,0,0,0,0,0,0,0,0,568,830,1627,2666,2519,2555,2179,1944,1929,2452,2115,2071,2021,33.8905555556,-87.5241666667,City
"Cardiff, Alabama",0,0,0,0,0,0,0,0,0,0,203,562,426,463,146,246,204,202,127,140,72,82,55,33.6452777778,-86.9327777778,Town
"Carlowville, Alabama",0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0872222222,-87.0341666667,Unincorporated community
"Carlton, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.343,-87.845,Census-designated place
"Carolina, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,203,201,248,297,31.2313888889,-86.5205555556,Town
"Carrollton, Alabama",0,0,0,0,0,0,394,0,0,349,0,278,444,564,569,626,710,894,923,1104,1170,987,1019,33.2608333333,-88.0944444444,Town
"Castleberry, Alabama",0,0,0,0,0,0,0,0,0,0,0,167,225,313,427,609,667,669,666,847,669,590,583,31.2977777778,-87.025,Town
"Catherine, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.185,-87.469,Census-designated place
"Cedar Bluff, Alabama",0,0,0,0,0,0,0,0,0,85,194,0,0,418,0,0,563,687,956,1129,1174,1467,1820,34.2205555556,-85.5958333333,Town
"Center Point, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15675,23317,22658,22784,16921,33.6391666667,-86.6802777778,City
"Center Star, Alabama",0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,34.8613888889,-87.4555555556,Unincorporated community
"Centre, Alabama",0,0,0,0,0,0,250,0,0,144,347,282,0,0,0,1012,1672,2392,2418,2351,2893,3216,3489,34.1591666667,-85.6747222222,City
