organization,address,city,st,zip,office_type,longitude,latitude
First South Farm Credit,41655 State Highway 59,Bay Minette,AL,36507,Branch,-87.777017,30.832233
First South Farm Credit,1824 Eva Rd NE,Cullman,AL,35055,Branch,-86.827872,34.201192
Alabama Farm Credit,1949 St Joseph Dr NW,Cullman,AL,35055,Branch,-86.87304,34.20558
Alabama Ag Credit,921 Hwy 80 West,Demopolis,AL,36732,Branch,-87.847431,32.497039
Alabama Ag Credit,1001 Forest Drive,Dothan,AL,36303,Branch,-85.433618,31.235018
Alabama Ag Credit,9810 Timber Circle,Spanish Fort,AL,36527,Branch,-87.852799,30.672152
Alabama Ag Credit,7602 Halcyon Summit Dr,Montgomery,AL,36117,Branch,-86.16865,32.365195
First South Farm Credit,1401 Forest Ave,Montgomery,AL,36106,Branch,-86.285856,32.364785
First South Farm Credit,4210 McFarland Blvd,Northport,AL,35476,Branch,-87.59834,33.23918
Alabama Ag Credit,"2618 8th Street, Suite 10",Tuscaloosa,AL,35401,Branch,-87.570875,33.20619
First South Farm Credit,320 Alabama Hwy 75 North,Albertville,AL,35951,Branch,-86.19996,34.2785
Alabama Farm Credit,808 AL Hwy 75 N,Albertville,AL,35950,Branch,-86.192099,34.281501
First South Farm Credit,2341 Alabama Hwy 21 South,Oxford,AL,36203,Branch,-85.844412,33.591402
First South Farm Credit,700 Hwy. 80 West,Demopolis,AL,36732,Branch,-87.84732,32.49861
First South Farm Credit,141 Lee Street,Luverne,AL,36049,Branch,-86.2854,31.731113
First South Farm Credit,1613 Frederick Road,Opelika,AL,36801,Branch,-85.399255,32.622442
Alabama Ag Credit,1431 Gateway Drive,Opelika,AL,36801,Branch,-85.40893,32.636984
Alabama Ag Credit,420 Broad Street,Selma,AL,36701,Branch,-87.021813,32.411853
Alabama Farm Credit,65696 AL Hwy 77,Talladega,AL,35161,Branch,-86.114585,33.452095
First South Farm Credit,1103 Bypass West,Andalusia,AL,36420,Branch,-86.50085,31.294821
Alabama Ag Credit,1010 Boll Weevil Circle,Enterprise,AL,36330,Branch,-85.84693,31.33408
Alabama Ag Credit,87 North Mount Pleasant Avenue,Monroeville,AL,36460,Branch,-87.325523,31.528086
First South Farm Credit,970 Hwy. 20 East,Tuscumbia,AL,35674,Branch,-87.652879,34.704362
Alabama Farm Credit,1013 Hwy 72E,Tuscumbia,AL,35674,Branch,-87.594783,34.683519
Alabama Farm Credit,26243 US Highway 72,Athens,AL,35613,Branch,-86.860454,34.764281
First South Farm Credit,30035 US Highway 72 West,Madison,AL,35756,Branch,-86.79809,34.74956
First South Farm Credit,1960 Stonegate Drive,Birmingham,AL,35242,Branch,-86.701328,33.483616
