course,access,category,holes,city_state,st,county,lon,lat
Fireweed Meadows Golf Course,Public,Public,9,"Anchor Point,AK",AK,Kenai Peninsula Borough,-151.820102,59.773222
Anchorage Golf Course,Public,Public,18,"Anchorage,AK",AK,Anchorage Municipality,-149.814495,61.127089
Russian Jack Springs Golf Course,Municipal,Public,9,"Anchorage,AK",AK,Anchorage Municipality,-149.788303,61.206435
Tanglewood Lakes Golf Club,Public,Public,9,"Anchorage,AK",AK,Anchorage Municipality,-149.853757,61.113415
Eagleglen Golf Course,Public,Public,18,"Elmendorf Afb,AK",AK,Anchorage Municipality,-149.824373,61.233041
Fairbanks Golf and Country Club,Public,Public,9,"Fairbanks,AK",AK,Fairbanks North Star Borough,-147.816536,64.877632
North Star Golf Course,Public,Public,18,"Fairbanks,AK",AK,Fairbanks North Star Borough,-147.613637,64.89708
Moose Run Golf Course,Public,Public,36,"Fort Richardson,AK",AK,Anchorage Municipality,-149.542309,61.24357
Chena Bend Golf Course,Public,Public,18,"Fort Wainwright,AK",AK,Fairbanks North Star Borough,-147.626814,64.814935
Mount Fairweather Golf Course,Public,Public,9,"Gustavus,AK",AK,Hoonah-Angoon Census Area,-135.742963,58.420408
Valley of the Eagles Golf Links,Public,Public,9,"Haines,AK",AK,Haines Borough,-135.481298,59.239917
Black Diamond Golf Course,Public,Public,9,"Healy,AK",AK,Denali Borough,-149.039817,63.848484
Kachemak Bay Links Par 3 Golf,Public,Public,9,"Homer,AK",AK,Kenai Peninsula Borough,-151.370752,59.692919
Mendenhall Golf Course,Public,Public,9,"Juneau,AK",AK,Juneau City and Borough,-134.610092,58.361763
Kenai Golf Course,Public,Public,18,"Kenai,AK",AK,Kenai Peninsula Borough,-151.183901,60.559592
Bear Valley Golf Course,Public,Public,9,"Kodiak,AK",AK,Kodiak Island Borough,-152.527572,57.772932
Cottonwood Country Club,Public,Public,9,"Nikiski,AK",AK,Kenai Peninsula Borough,-151.291629,60.690101
Palmer Golf Course,Municipal,Public,18,"Palmer,AK",AK,Matanuska-Susitna Borough,-149.087712,61.584757
Sea Mountain Golf Course,Public,Public,9,"Sitka,AK",AK,Sitka City and Borough,-135.395965,57.101605
Birch Ridge Golf Course Inc,Public,Public,9,"Soldotna,AK",AK,Kenai Peninsula Borough,-151.007643,60.499382
Bird Homestead Golf Course,Public,Public,9,"Soldotna,AK",AK,Kenai Peninsula Borough,-150.856551,60.498969
Settlers Bay Golf Course,Public,Public,18,"Wasilla,AK",AK,Matanuska-Susitna Borough,-149.613961,61.504628
Sleepy Hollow Golf Course,Public,Public,9,"Wasilla,AK",AK,Matanuska-Susitna Borough,-149.382193,61.655225
Muskeg Meadows Golf Course,Public,Public,9,"Wrangell,AK",AK,Wrangell City and Borough,-132.356586,56.473241
Albertville Golf & Country Club,Private,Private,18,"Albertville,AL",AL,Marshall County,-86.198381,34.296785
